Date,Day,People Tested - Total,People Positive - Total,People Not-Positive - Total,People Tested - Age 0-17,People Tested - Age 18-29,People Tested - Age 30-39,People Tested - Age 40-49,People Tested - Age 50-59,People Tested - Age 60-69,People Tested - Age 70-79,People Tested - Age 80+,People Tested - Age Unknown,People Tested - Female,People Tested - Male,People Tested - Gender Unknown,People Tested - Latinx,People Tested - Asian Non-Latinx,People Tested - Black Non-Latinx,People Tested - White Non-Latinx,People Tested - Other Race Non-Latinx,People Tested - Unknown Race/Ethnicity,People Positive - Age 0-17,People Positive - Age 18-29,People Positive - Age 30-30,People Positive - Age 40-49,People Positive - Age 50-59,People Positive - Age 60-69,People Positive - Age 70-79,People Positive - Age 80+,People Positive - Age Unknown,People Positive - Female,People Positive - Male,People Positive - Gender Unknown,People Positive - Latinx,People Positive - Asian Non-Latinx,People Positive - Black Non-Latinx,People Positive - White Non-Latinx,People Positive - Other Race Non-Latinx,People Positive - Unknown Race/Ethnicity,People Not-Positive - Age 0-17,People Not-Positive - Age 18-29,People Not-Positive - Age 30-39,People Not-Positive - Age 40-49,People Not-Positive - Age 50-59,People Not-Positive - Age 60-69,People Not-Positive - Age 70-79,People Not-Positive - Age 80+,People Not-Positive - Age Unknown,People Not-Positive - Female,People Not-Positive - Male,People Not-Positive - Gender Unknown,People Not-Positive - Latinx,People Not-Positive - Asian Non-Latinx,People Not-Positive - Black Non-Latinx,People Not-Positive - White Non-Latinx,People Not-Positive - Other Race Non-Latinx,People Not-Positive - Unknown Race/Ethnicity
05/24/2020,Sunday,2104,280,1824,141,387,381,325,319,279,179,89,4,1007,1078,19,281,27,388,368,58,982,16,56,42,48,33,47,22,16,0,150,130,0,117,2,49,17,12,83,125,331,339,277,286,232,157,73,4,857,948,19,164,25,339,351,46,899
03/06/2020,Friday,18,3,15,1,5,1,3,3,2,2,0,1,8,10,0,2,0,1,4,2,9,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,2,1,0,1,5,1,1,3,1,2,0,1,8,7,0,2,0,1,2,1,9
06/28/2020,Sunday,1908,112,1796,165,430,395,282,235,212,106,77,6,1025,861,22,229,33,321,422,86,817,8,36,22,21,10,9,4,2,0,65,47,0,34,1,21,25,6,25,157,394,373,261,225,203,102,75,6,960,814,22,195,32,300,397,80,792
04/23/2020,Thursday,4052,1467,2585,144,569,676,654,676,632,393,293,15,2029,1781,242,760,73,744,484,178,1813,32,194,205,223,240,244,161,167,1,734,644,89,474,20,365,178,68,362,112,375,471,431,436,388,232,126,14,1295,1137,153,286,53,379,306,110,1451
07/10/2020,Friday,5957,344,5613,488,1674,1344,845,667,510,278,141,10,3248,2556,153,774,148,1035,1309,209,2482,35,121,74,50,24,17,18,5,0,167,175,2,102,6,97,65,11,63,453,1553,1270,795,643,493,260,136,10,3081,2381,151,672,142,938,1244,198,2419
08/12/2020,Wednesday,5610,434,5176,677,1707,1218,682,578,435,194,107,12,3026,2414,170,1115,140,895,1261,194,2005,51,119,94,72,54,29,9,6,0,224,207,3,176,1,81,90,20,66,626,1588,1124,610,524,406,185,101,12,2802,2207,167,939,139,814,1171,174,1939
08/25/2020,Tuesday,5405,395,5010,548,1592,1119,625,617,494,275,133,2,2924,2400,81,1164,181,687,1138,240,1995,49,113,73,65,49,26,10,9,1,213,178,4,175,7,59,75,16,63,499,1479,1046,560,568,468,265,124,1,2711,2222,77,989,174,628,1063,224,1932
04/10/2020,Friday,1764,572,1192,72,262,351,318,322,249,118,71,1,898,849,17,264,49,449,237,86,679,22,79,102,98,108,86,42,35,0,252,309,11,165,26,211,75,26,69,50,183,249,220,214,163,76,36,1,646,540,6,99,23,238,162,60,610
06/01/2020,Monday,2374,236,2138,163,428,418,341,339,334,200,149,2,1268,1026,80,283,49,424,462,97,1059,21,51,35,34,35,17,17,26,0,136,99,1,87,8,50,36,12,43,142,377,383,307,304,317,183,123,2,1132,927,79,196,41,374,426,85,1016
08/07/2020,Friday,5864,416,5448,648,1561,1234,842,714,519,236,110,0,3194,2566,104,1185,199,1033,1521,223,1703,65,108,82,55,48,35,13,10,0,200,215,1,182,9,68,86,18,53,583,1453,1152,787,666,484,223,100,0,2994,2351,103,1003,190,965,1435,205,1650
07/29/2020,Wednesday,5743,445,5298,610,1619,1239,752,604,499,264,147,9,3196,2406,141,1363,128,961,1178,207,1906,56,131,95,67,50,28,12,6,0,230,208,7,180,7,98,87,19,54,554,1488,1144,685,554,471,252,141,9,2966,2198,134,1183,121,863,1091,188,1852
